feature,importance
chlor_x_turb,0.4107736
Trihalomethanes_flag,0.17453499
Chloramines_dev,0.057621177
n_violations,0.04806336
Organic_carbon_dev,0.03922399
log_OC,0.035275936
Turbidity_flag,0.030706156
Organic_carbon,0.021001723
sulf_x_cond,0.01976358
Chloramines,0.018053943
Trihalomethanes_dev,0.01472887
Trihalomethanes,0.014325387
thm_x_turb,0.013004886
log_Turbidity,0.0129499985
Turbidity,0.008866576
Turbidity_dev,0.0068287174
Sulfate_dev,0.006075242
total_dev_score,0.0059473715
Sulfate,0.005869556
ph_dev,0.0054465802
