threshold,f1,precision,recall,fn,fp
0.1,0.7545,0.6167,0.9805,5,156
0.15,0.8014,0.6703,0.9688,8,122
0.2,0.8224,0.6966,0.9688,8,108
0.25,0.8417,0.7243,0.9648,9,94
0.3,0.861,0.7546,0.9609,10,80
0.35,0.8773,0.7846,0.9531,12,67
0.4,0.8827,0.8068,0.9297,18,57
0.45,0.8837,0.8182,0.9141,22,52
0.5,0.8893,0.837,0.9023,25,45
0.55,0.8993,0.8726,0.8828,30,33
0.6,0.8952,0.8866,0.8555,37,28
0.65,0.8911,0.8987,0.832,43,24
0.7,0.8889,0.9087,0.8164,47,21
0.75,0.8782,0.9099,0.7891,54,20
0.8,0.8636,0.9143,0.75,64,18
0.85,0.8237,0.918,0.6562,88,15
0.9,0.7732,0.9329,0.543,117,10
